順位,ネーム,ルームナンバー,info,登録者数
19,虚拟次元计划,5563350,B站首位中文虚拟UP主，人工萌新！粉丝QQ群号：1080282806~合作方式：vd_project@163.com,"456,899"
20,Mr.Quin,15810,新浪微博：@Mr_Quin http://weibo.com/mrquin33,"448,726"
21,Overidea_China,18149131,这里是偶像集团Overidea！ ✧ 商业合作 kyouka@overidea.jp,"448,328"
22,hololive,286700005,VTuber（虚拟Youtuber）事务所「hololive production」官方账号官网：hololive.tv,"441,354"
23,犬山玉姬Official,12362451,这里是NoriPro所属的伪娘Vtuber犬山玉姬(犬山たまき)！❖担当画师：佃煮海苔男(佃煮のりお)。工作审核群：572299025,"429,469"
24,AIChannel中国绊爱,484322035,我的首张EP《化身星海》上线啦，请大家多多支持！制作运营@哎咿多工作室 粉丝群：962144350 ,"407,060"
25,百鬼绫目Official,389858027,Hololive所属二期生虚拟鬼神￤百鬼绫目（Nakiri Ayame）￤担当画师：ななかぐら￤协力：百鬼组￤商务合作与问题反馈请私信,"407,043"
26,花园Serena,380829248,主人饲养的猫猫，花園セレナ是也！音声https://www.geekjack.net/hanazono_serena/,"391,791"
27,菜菜子Nanako,595407557,治愈系小萌神 菜菜子Nanako会出现在充满苦恼需要帮助的人们身边哦～VirtuaReal成员,"387,964"
28,兔田佩克拉Official,443305053,hololivetv所属VTuber三期生 兔田佩克拉！协力：时空字幕组,"386,671"
29,星街彗星Official,9034870,HOLOLIVE所属，虚拟偶像星街彗星！协力：星街彗星的观星人。商务合作与问题反馈请私信,"367,230"
30,花丸晴琉Official,441381282,我是虚拟偶像组合“花寄女生宿舍”的成员、Vtuber花丸晴琉！和我做朋友吧！,"352,410"
31,润羽露西娅Official,443300418,hololive三期生 润羽露西娅 ʚїɞ我乃见习死灵法师 死者苏生之奇迹† Fantasy！！ 协力：时空字幕组,"347,984"
32,时乃空Official,286179206,"HOLOLIVE所属,虚拟偶像！ ❖担当画师：おるだん 协力：时空字幕组","340,183"
33,帕里_Paryi,1576121,我是paryipro的画师paryi~中国朋友们好~请大家关注我~paryi审核群：439902287,"328,655"
34,天音彼方Official,491474048,HOLOLIVE所属四期生，在天界学园上学的天使！担当画师：おしお 协力：天音彼方字幕组。问题反馈请私信。,"322,655"
35,大神澪Official,389862071,hololivegamers所属，喜欢游戏的虚拟狼 大神澪！❖担当画师：泉彩协力：MIO字幕组 商务合作与问题反馈请私信,"317,501"
36,戌神沁音Official,412135619,hololive-gamers所属，住在都市中某面包店里的虚拟狗狗，戌神沁音哒！❖担当画师：フカヒレ问题反馈请私信。,"307,259"
37,物述有栖Official,434565011,我还在学中文，但也想来bilibili和大家一起开愉快的茶会！请多关照啦！,"306,397"
38,癒月巧可Official,389858754,hololive二期生，来自魔界的虚拟保健医生癒月巧可。❖画师担当：桝石きのと様协力：时空字幕组,"296,856"
39,战斗吧歌姬官方账号,364225566,这里是时刻回应爱的实时互动企划《战斗吧歌姬！》，快来微信小程序：战斗吧歌姬 和歌姬们一起玩吧~,"293,469"
40,扶桑大红花丶,3985676,"哒哒哒✧٩(ˊωˋ*)و✧
                微博同名( ""･ω･ﾞ)
                网易云电台：扶桑大红花_(:3」∠❀)_
              ","292,979"
41,樱巫女Official,366690056,"hololive所属的虚拟巫女(❀ㆆ ㆆ)و✧一个喜欢鲷鱼烧的精英女孩子
                ❖担当画师：田中雄一
                协力：三樱字幕组。商务合作与问题反馈请私信。","288,473"
42,輝夜月Official,265224956,摸鱼技术哪家强素质极好luna酱～！！！微博搜索：辉夜月official 官网：kaguyaluna.jp,"286,182"
43,紫咲诗音Official,389857640,holoIive二期生，魔法使紫咲诗音！❖担当画师：Tam-U 协力： 紫咲诗音字幕组。问题反馈请私信留言。本账号不接任何形式的商业推广。,"283,186"
44,角卷绵芽Official,491474050,HOLOLIVE所属四期生角卷绵芽！一边做着吟游诗人，一边悠然旅行的羊。担当画师：ふーみ 协力：角卷绵芽字幕组,"279,629"
45,白银诺艾尔Official,454733056,"沉着稳重的同时，又有着想用蛮力解决一切的一面！！
                憧憬强大之人而进行武者修行的轻飘飘猛男女骑士！
                ❖担当画师：わたお
                字幕协力：三樱字幕组","267,843"
46,白神遥Haruka,477332594,P-SP所属，爱睡觉和打游戏的一只海豹JK(:3っ)∋想成为大家的光，妈妈是@Bison仓鼠仓，白神遥的被窝聊天群：1137127370,"267,684"
47,本间向日葵Official,403928672,我是本间向日葵！请多关照～！やぁやぁ(・ワ・),"255,576"
48,宝钟玛琳Official,454955503,Hololive Fantasy所属，宝钟海贼团船长~出航〜❖担当画师：あかさあい 协力：宝钟玛琳字幕组,"252,515"
49,猫又小粥Official,412135222,hololive-gamers所属，饭团屋的婆婆所饲养的猫猫❖担当画师：神岡ちろる协力：猫又小粥字幕组。问题反馈请私信。,"248,756"
50,高槻律official,6055289,来自日本的清楚系虚拟YouTuber 长期招收校对 审核群963140085,"248,620"
51,桐生可可Official,491474049,Hololive所属4期生，对人类文化很感兴趣，目前在日留学，来自异世界！担当画师：yaman 协力：桐生可可字幕组。商务合作及反馈请私信。,"234,889"
52,还有醒着的么,2100679,这里是醒爷 未满16禁止关注！微博推特ID都是 还有醒着的么 p站ID=7660686,"230,655"
53,有栖Mana_Official,3149619, 来自韩国的小狐狸 （已毕业,"226,923"
54,田中姬铃木雏Official,296909317,姬雏：请大家多多关照！商务合作请联系官博：田中姬铃木雏Official,"225,127"
55,白雪深白Official,405981431,这里是NoriPro所属的虚拟女仆白雪深白~工作审核群:572299025 白雪粉丝2群:1032362112,"224,236"
56,琴吹夢_official,442426299,我是可爱的整活大师，不是不良少女！,"224,201"
57,叫我默默酱,308688486,我是默默酱，一个像苏打饼干一样干干脆脆的小姑娘。v❤：momojiang1009 合作邮箱momo@huox.tv,"215,740"
58,黑桃影,456368455,hololive CN所属，星空下的白色幻影，怪盗Spade Echo参上！ 担当画师：ななかぐら ,"207,232"
59,萝卜子Official,20813493,hololive所属，Virtual Robot 担当画师：kuromaru9 商务合作与问题反馈请私信hololive,"206,015"
60,虚拟女友Yomemi,292044559,Hello达令~ 这里是您的虚拟女友Yomemi~丨直播地址：https://bit.ly/2XdlPAq,"205,292"
61,琉绮Ruki,420249427,Virtuareal Project一期生。唱跳rapOW。群：1005397354⭐去摘遥不可及的星。商务合作联系bd@vrp.liv,"204,739"
62,杏仁Miru搬运,233114861,这里是会说中文以及日语的虚拟vtuber杏仁ミル！已获得搬运权限。,"203,650"
63,大空昴Official,389859190,"holo-live二期生，我是E-Sports部经理大空昴的说!
                ❖担当画师：しぐれうい
                协力：大空昴字幕组","200,970"
64,木糖纯Official,54191665,在这个新的地球，努力唱歌，认真配音，总有一天会让你们认识我！加油！合作请私聊~,"200,210"
65,笹木咲Official,436596839,ゲームだいすき、高校２年生。笹木咲やよ〜。,"197,903"
66,夜空梅露Official,389856447,holoIive一期生，喜欢果汁而不是血的吸血鬼↝ 担当画师：Ayamyあやみ ,"189,125"
67,希薇娅Civia,354411419,想要成为你睁开眼时最钟情的那抹阳光 ❀Hololive China一期生 妈妈@fuka_hire,"184,660"
68,雪花菈米Official,624252706,住在杳无人烟的银白色大地上的，雪之一族的少女。角色设计：リン ユウ。协力：雪花菈米的雪山小屋。商务合作与问题反馈请私信,"182,542"
69,狮白牡丹Official,624252710,和外表相反，性情慵懒的白狮。角色设计：トマリ 协力：时空字幕组,"182,014"
70,可愛的島風,14248896,这里是虚拟主播-岛风风啦～VR类搞笑视频UP～点个关注不迷路啦～UP仅在哔哩哔哩发视频哦～未经授权请勿盗用视频！（为什么要点开看人家资料呀）,"179,799"
71,葛叶Official,434563422,我是虚拟主播葛叶，请多多关照。,"176,994"
72,時雨羽衣Official,2601367,插画家，虚拟和现实都是哦！工作：电击文库『青梅竹马绝对不会输的恋爱喜剧』Vtuber大空昴造型设计、WIXOSS等,"175,426"
73,兽耳放送,327711614,我是虚拟UP主米露可！嗷呜~,"175,327"
74,不知火芙蕾雅Official,454737600,我是hololive所属3期生 半精灵不知火芙蕾雅哦～ 担当画师：lack 协力：不知火芙蕾雅字幕组,"170,548"
75,亚绮-罗森Official,389857131,"hololive一期生，来自异世界的虚拟治愈系半精灵
                ❖担当画师：安雲アキタケ
                协力：夏露伊苏字幕组。商务合作与问题反馈请私信","168,095"
76,常暗永远Official,491474051,HOLOLIVE所属四期生。为了成长为独当一面的恶魔来到人间学习。担当画师:rurudo 协力：常暗永远字幕组。商务合作及反馈请私信。,"165,762"
77,七海Nana7mi,434334701,Weibo:七海Nana7mi Email:bd@vrp.live 录播:@出逃鲨鱼抱枕,"164,722"
78,织田信姬official,80387576,最近锅炉故障，更新不定！炊事班审核群873571678，欢迎加入~粉丝1群：745837145 *频道存续已告知信姬运营，并保持原有风格*,"162,878"
79,夢乃栞Yumeno_Shiori,372984197,"おは堕天使*ଘ(੭*ˊᵕˋ)੭

                翻譯協力群
                963140085

                粉丝群
                584408832","162,366"
80,静凛Official,403921378,"我是NIJISANJI的Virtual Liver""静凛""。如果能轻松愉快地叫我""Shizurin""的话，我会很高兴的!","161,519"
81,姬森璐娜Official,491474052,HOLOLIVE所属四期生。点心国的公主。担当画师：神崎广（@kanzakihiro）字幕协力：姬森璐娜字幕组,"158,341"
82,尾丸波尔卡Official,624252712,为了成为Vtuber界的招牌而来到hololive的马戏团团员。角色设计：こう ましろ,"157,345"
83,梭梭树,8163245,树树我啊，最喜欢钱了，所以要努力画稿,"152,913"
84,白音雪Official,5570898,这里是来自日本的虚拟up主白音雪 经常会进行直播 喜欢玩游戏和唱歌！粉丝群891379347,"151,561"
85,忘川の泉眼,201448,唯一使用QQ：410990110 高清作品获取途径见公告 【愿我幻想的一切，有一日能够更加清晰地，展现给你~】 ,"150,422"
86,筱魈Channel,4690327,个人势Vliver练习生，不出道了，别问了！录播组@筱魈保护协会,"145,748"
87,早稻叽,1950658,<ChaosLive>在异世界歌唱的恶魔✨❤禁言通知群：473535941✨商务合作请戳：911998640,"145,579"
88,椎名唯华Official,403927583,にじさんじ所属、高校１年、霊能力者です。,"144,634"
89,菫妃奈Official,98181,"VirtuaReal Link所属个人势vup，妈妈是Paryi,目标是做游戏的gamer小狐狸w
                推特@sumirehina微博@菫妃奈","144,514"
90,阿媂娅Artia,511613155,HololiveCN二期生｜守望先锋单排500强 ｜寒冰一笑如魇花，冰封千年只为你 。商：hololivecn@cover-corp.com,"144,211"
91,叶Official,434563934,我是NIJISANJI的虚拟主播叶！我喜欢玩游戏，希望能和大家一起享受乐趣！,"142,364"
92,加加Official,1506609,披着萌妹皮的老公，我迟早要把所有的DD都娶了。凭兴趣成为虚拟up主的DD。,"141,457"
93,綾奈奈奈,186463,"我也喜欢你呀。‪‪❤︎‬"" 兔子JKᕱ⑅ᕱ ✨怎么能要求一只兔子讲标准普通话？（疑惑）联系ayanaxnana@gmail邮箱✨▹P-SP◃","141,065"
94,夏色祭保護協会,420711844,夏色祭保護協会所属bilibili账号。非官方祭丝同人组织。主攻夏色祭相关烤肉/原创视频，夏色祭周报/月刊，祭丝群建设。,"136,014"
95,朵莉丝Doris,511613156,Hololive CN二期生 朝向下一道光辉横渡大海吧！ ——来自深海中的人鱼公主～ ,"135,878"
96,Kanna_康娜Official,345819190,我是虚拟主播Kanna！狂热的呆呆兽爱好者! 粉丝群734442518,"135,061"
97,龙胆尊Official,434564604,妾身乃NIJISANJI的虚拟主播龙胆尊，今后多多关照！,"134,079"
98,阳向心美Official,492862,我是偶像Vtuber阳向心美 / 陽向ここみ（cocomi）粉丝4群1071827340字幕组审核群：645927221,"133,689"
99,yakko暗影,175056,175056,"130,313"
100,v猫诺v,70070,"群:852645078
                B站直播间:https://live.bilibili.com/308543
                每天12:30播到晚上9点左右啦
              ","122,695"
101,物述有栖-爱丽丝搬运,203365648,粉丝群 二群902821691 三群1043883885 搬运组审核群 808288640(进群请注明职位),"119,966"
102,魔王酱Maou_Official,163917943,_个人势_虚拟魔王深渊巨口，专吃美少女，不关注加急献祭！晚安群:1040553852录播组@魔王酱祭品严选会 网易云和微博同名～！！！,"119,768"
103,野野宫のののOfficial,441403698,我是虚拟偶像组合“花寄女生宿舍”的成员、Vtuber野野宫ののの！我最喜欢唱歌了，请多关照！,"119,045"
104,小东人魚Official,441382432,我是虚拟偶像组合“花寄女生宿舍”的成员、Vtuber小东人鱼！我要去挑战各种游戏啦！,"118,853"
105,混沌之神-最终虚妄,85816940,游戏制作人，全栈技术宅猫娘，个人群726910018技术群595958357，半个vup，目前还在填灵之秘境老游戏，希望以后做理智优秀的游戏,"118,598"
106,雫るる_Official,387636363,对不起 我是天才,"117,295"
107,桃铃音音Official,624252709,因为憧憬偶像，而从异世界前来的旗袍少女。角色设计：西沢5㍉,"113,736"
108,罗莎琳Rosalyn,511613157,"Hololive CN二期生 来自异世界的图书管理员，来一起探索这个世界吧！
              ","113,272"
109,宝蓝狼,20036042,弱小 可怜 无助 还特别能嗷 邮箱: takaranoao@gmail.com 独立运营的个人势up,"111,024"
110,水兰儿_Official,63011,大家好，我是虚拟吸血鬼，水兰儿。目标是掉到两千粉，希望大家认真看待我的目标！请多指教！,"109,900"
111,修女克蕾雅Official,477780496,为了治愈身心疲惫的你而直播的哟。平时的直播内容以杂谈和唱歌为主。我会努力「治愈」大家的！,"108,505"
112,幻想乡の鬼狐狸,535637,如果把幻想乡的鬼狐狸谷歌翻译二十次的话 应该挺酷的哦,"108,256"
113,莉泽Official,436596841,bilibili的大家，你好！我是莉泽·赫露艾斯塔，赫露艾斯塔王国的第二位公主。为了作为良好的公主，天天努力！请多多关照,"107,373"
114,陆婉莹GodRiku,337827661,"是个好人
                陆家帮二代目帮主。直播预告请私信“直播”
                特别喜欢打游戏
                商业合作请私信
                粉丝群：754278929","106,622"
115,乌拉の帝国Official,610390,大家好哦~ 这里是乌拉拉哒哟~ lucca事务所所属~B站FPS RTS硬核虚拟游戏主播 声音就是这样的 还请各位多多关照~,"105,567"
116,星野饼美,82389,专注卡牌游戏！每天介绍新卡组，每晚在B站694直播间直播，欢迎关注～,"105,272"
117,乙女音Official,406805563,欢迎打钱！谢谢打钱！我想要5000兆円!请叫我oto酱! 烤肉审核:967458726 缺人 ,"105,202"
118,千草はな,8119834,是狐狸不是松鼠！千草はなbilibili唯一官方字幕组，字幕组审核群963140085粉丝群二群290431160,"104,539"
119,MMP字幕搬运,278093107,猫猫扑字幕组｜贝琳&茜菲搬运｜粉丝群：231896856｜https://weibo.com/MMPZMZ,"104,498"
120,阿萨Aza,480680646,你好！我是VRP所属的Vup，喜欢唱歌打游戏。粉丝群：832895027，商务合作请联系bd@vrp.live,"104,136"
121,艾因Eine,421267475,歌与魔法改变世界！我是艾因，永远19岁的异世界魔法师！虚拟主播团体VirtuaReal一期生,"103,414"
122,猫芒ベル_Official,487550002, ViViD所属的Vtuber。见习魔女。‍#猫芒照相馆#,"102,674"
123,七柠Official,415578378,415578378,"102,623"
124,山崎kaori,214854,"谢谢你关注了平平无奇的kaori
                目前作为虚拟主播+UP主活动中
                魔女SP
                通知闲聊多用QQ群：204090709","100,153"
125,窥酱Channel,370515,bilibili UP主认证：bilibili 知名套皮女主播,"99,905"
126,委员长杂鱼搬运,109891,无情的烤肉机器，感谢各位组员和野生烤肉man。非公式杂鱼搬运，長期招募翻译校对，能力有限不足之處請見諒。,"99,859"
127,虚拟宫宫Official,24622055,中日双语所谓“虚拟UP主(VTuber)”。妹子的外貌，大叔的头脑。群号:82698857　微博:宫崎壮玄and虚拟宫宫,"99,713"
128,夜霧Yogiri,427061218,吸猫BOT＊努力&自律＊HOLOLIVE CHINA一期生YOGIRI＊担当画师：本田ロアロ,"99,690"
129,步玎Pudding,416622817,P-SP所属 在考拉国留学的死宅萌豚JK哟❤️ 喜欢暖和的太阳和...炸猪排！步玎的DD冰箱：818843850,"99,453"
130,兰若_Re,373493702,来自成都的虚拟up主，青城山扛把子兰若_Re~～ 商务合作WX：18000561602（请备注来意）,"98,765"
131,老教师琦琦子,1780773,勿谓言之不预也,"98,172"
132,山兔YamaUsagi,519464736,Hola～这里是山兔YamaUsagi，梦想是成为Super idol！未来的日子里请接收我的元气抛瓦吧((꜆꜄•௰•)꜆꜄꜆,"98,142"
133,绿仙Official,403930401,大家好，我是NIJISANJI的绿仙。18岁。多多给我留言评论我会很开心的。请多关照！,"97,902"
134,红晓音Akane,899804,P-SP所属。喜欢唱歌的魔法少女，猫咪是世界的宝藏！与你相遇就是最美的魔法❤ 聊天群： 807630180,"97,075"
135,杀戮的天使官方,24791744,《杀戮的天使》日本官方号。欢迎关注我们的微博@杀戮的天使官博(*^▽^*),"96,972"
136,阿梓从小就很可爱,7706705,大家好！我是宅在家爱唱歌的梓酱！,"96,513"
137,HiiroVTuber,508963009,"英文虚拟UP主！English VTB Hiiro, 英語VTBひいろ。901 IQ, 不是 debu, cat！","94,699"
138,安洁Official,458154143,久等了，是不是等很久啦？你们好，我是美少女炼金术师安洁。想要炼成恋人的话，就先做好失去一只手的心理准备吧。,"94,483"
139,AZKi_Official,389056211,hololive lNNK Music成员，Vsinger的AZKi，我很喜欢唱歌。协力：时空字幕组。,"94,131"
140,樋口枫Official,410455162,でろーんでろーんでろんはお！にじさんじ公式バーチャルライバ－の樋口楓です。みんなを思いっきり笑わせたいです！,"93,735"
141,Siva_小虾鱼_,358695457,雪风军团所属，喜欢唱歌和幻想的萌（？）系新物种失忆少女。想要成为一站上舞台就闪闪发光的人ੈ✩‧₊˚ 粉丝群：812593384,"92,937"
142,森永みうofficial,2778044,森永is可爱/粉丝群：321313666/本人直通E-mail:morinaga.bili@gmail.com,"92,411"
143,未来明-MiraiAkari,238537745,hello、这里是未来明！！( •̀ᴗ•́ )ゞ 来自日本的虚拟up主 粉丝群qq：614751169,"91,634"
144,井水黑の宅叔,1869904,目标10w粉！冲啊！粉丝群号：1079235481，关注吧，不会后悔滴。,"91,073"
145,鹿野灸,5659864,本音，请勿议论三次信息，也请勿在无关视频刷我的名字，目前只有B站这一个帐号，其他平台均为假冒请擦亮眼睛不要受骗，感谢你的喜欢与支持！魔女公司,"90,529"
146,碧居结衣Official,179459,蓝兔子 十六岁的lady 粉丝群一二三四群已满、粉丝五群1124716134 字幕组审核群：1140863299,"90,219"
147,NIJISANJI,410484677,公式サイト：https://nijisanji.ichikara.co.jp,"90,033"
148,魔乃阿萝耶Official,624252711,以成为魔界歌姬为目标，任性又喜欢恶作剧的萨Q帕斯。角色设计：Guchico,"90,029"
149,VirtuaReal,413748120,报名请移步 vup.link/join 填写问卷！招聘：join@vrp.live 商务合作：bd@vrp.live,"89,240"
150,安堂いなり_official,392505232,VirtuaReal Link所属个人势Vtuber 安堂いなり,"89,130"
151,戌亥床Official,458154142,歌うことが大好き！ケルベロスの戌亥とこです。,"88,576"
152,切茜娅CheIsea,632960,执掌欲求与堕落之魔王，游戏人间是乐趣所在。如何，做好献身于我的准备了吗？,"85,623"
153,喵田弥夜Miya,846180,你好喵！这里是喜欢玩游戏和画画的个人势vup，miya哒！是自己的画师~，社团peroclub~,"85,573"
154,夏実萌恵,355167926,"Hi guys, my name is Natsumi Moe. Nice to meet you!","84,607"
155,莉姬女王,387108043,QQ通知群995934296 我是莉姬リジ 来自异世界的女王， 是个迷路姬。喜欢玩恐怖游戏偏多。开播时间请加群 加群暗号 欧迪亚帝国 ,"83,434"
156,白百合リリィOfficial,421347849,ViViD所属，不管是你们还是money都最喜欢的守财天使！箱推6群1132670270字幕组审核群685228392,"82,513"
157,小凌漆漆,436197297,436197297,"81,951"
158,心斎桥オクトOfficial,17492464,个人势大阪系虚拟UP主 Ocuto！二创组⇒ ＠ocuto的大阪烧 ◆一群：933080154 二群：648657553,"81,475"
159,PPHOfficial,393940396,是珠穆朗玛峰,"81,068"
160,adogsama,317000,个人势。关于我在bilibili的账户该如何解决悄悄关注数是关注数5倍的哲学问题。QQ：46548864,"80,685"
161,杏仁ミル,396751329,会说中文跟日文的杏仁教教主!,"80,620"
162,小伞一把SCP-SNP,1740548,喜欢就关注吧❤ 录播@混沌之伞的星球 微博@有一把小伞 ,"80,131"
163,御伽原江良Official,436596838,御伽原江良です！ギバラと呼ばれています！よろしくお願いします！,"79,652"
164,罗伊_Roi,480745939,VRP所属liver，来自异世界的王子，商务合作请联系bd@vrp.live,"76,169"
165,音俣RukaOfficial,406548031,音俣るかOfficial！ 是高智能机器人！twitter.com/oto_ruka 审核群：914356308,"75,815"
166,默磷Official,820535,-魔女公司Project-；知识区UP主；做点寓教于乐的科普视频~,"75,364"
167,爱宫MILKOfficial,419429042,大家好，这里是见习偶像Vtuber 爱宫Milk的说~ ❖担当画师：佃煮海苔男(佃煮のりお)。,"74,198"
168,米糊zzZ,96644933,"关注我的，你怎么这么可爱捏？
                粉丝群：365513348
                微博：米糊zzZ","73,931"
169,可儿！,481169,481169,"73,459"
170,如月こより_Official,524194761,我是能令哭泣的孩子着迷的虚拟僵尸如月Koyori。,"73,094"
171,电脑少女siro_小白,391876799,"大家好！我是电脑少女小白！喜欢游戏实况！目标是虚拟世界的偶像！
                请点击关注，拜托了(๑•̀ㅂ•́)و✧","72,462"
172,家长麦Official,436596837,我是NIJISANJI的家长麦！来和我交朋友，一起玩吧~我随时等着大家！,"71,522"
173,佐仓•M•沙耶加,72960,直播地址：http://live.bilibili.com/104,"71,465"
174,灵无所归_梦无所往,297340,梦想是为了实现而存在的。（不关注一下么？）更多精彩视频都在往期哦~我即将出道啦,"70,779"
175,泰蕾莎Channel,620903,虽然然经常被误解但是是个人势哦？！QQ群：640969703 ,"68,763"
176,铃果Official,416203727,账号已停用，感谢你的喜欢。但愿重逢。,"68,209"
177,まこと-Official,472135480,macoto官方账号，YouTube：まこと。 niconico邮箱：http://bit.ly/30VkTjp　推特账号@rnqq,"68,117"
178,鹰宫莉音Official,436596840,我是NIJISANJI的超级美少女大小姐VTuber鹰宫莉音，在私立帝华高校读二年级，各位请多多关照！,"68,005"
179,无理MURI,455916618,Virtuareal Project 三期生。但愿绝望和无奈远走高飞。,"67,924"
180,伊恩姬_故障Ai,328284808,雪风军团所属vup ～*一个普通的游戏up路过/ps.故障军基地793097820欢迎你,"67,140"
181,钉宫妮妮Ninico,8881297,个人势V虚拟演员钉宫妮妮❤Ninico是治愈系独角猫❤梦想成为明星拿奥斯卡妮~谢谢大家喜欢妮！！！ ,"66,870"
182,贝尔蒙德Official,441666967,"大家""Ban""上好!にじさんじ公式バーチャルライバー、ベルモンド・バンデラスと申します。欢迎你。","66,541"
183,永远永远酱w,135980509,"个人势小行星vup，很高兴能够来到地球与大家成为好朋友w！谢谢大家一直以来的喜欢与支持！吾辈永远爱你萌w~

                目前只玩：微博贴吧，同名w","66,342"
184,AIofficial,430774867,我是可爱的AI虚拟主播AI酱~,"65,982"
185,S1娘Official,97340936,勤劳的烟厂厂妹，兼职当坛娘vtb。粉丝群：1020524454(已满)，二群：1060968078。,"65,261"
186,玩具喵Official,296496909,专栏向手游攻略up主，萌游姬攻略组创始人。玩具喵是无口系vup喔~,"65,170"
187,里奈Rina,7591465,-Croven教团- 带着大镰刀和小幽灵宠物的快乐死神！别名Jorina·Joestar,"65,158"
188,MeAqua动画制作委员会,4307809,めあくあてぇてぇ！主要创作以神楽めあ与湊あくあ为主角的二次创作视频作品，不定期投稿。审核群号：907670971,"64,462"
189,绅士Kevil,12908394,人形自走变声器/谢谢你这么好看还喜欢我w/邮箱：kevil_lucca@163.com/群号：820904656,"63,452"
190,dsailab二号机,11203281,我是二号机,"63,347"
191,Ruriko琉璃子Channel,47441,个人势VUP/虚拟主播Ruriko琉璃子，是吸血鬼,"61,921"
192,郡道美玲Official,458154139,郡道美玲、高校教師です。 座右の銘は『人生は長めの自己紹介』です。,"61,303"
193,社筑Official,458154141,中国のオタクな感じの皆さん、こんにちハッカ！ 我来自日本，想要和你们交流！ 好きなものを語り合いましょう！,"60,111"
194,律可Official,350631685,"holostars一期生，holoroid律可哦！
                担当画师：冬臣","60,053"
195,AGKUTA,10892065,=黑川芥｜没空营业年更个人势vup｜个人群：1046454046｜画画打游戏做动画，工地三语使用者，营业社障，KY退散,"59,604"
196,童田明治Official,458154140,嘎卟嘎卟~！我是NIJISANJI的童田明治！喜欢动画、唱歌和玩游戏！好想和大家一起玩得开心呀~！ヾ('ω')ﾉ,"59,590"
197,天神子兔音Official,360221708,※天神子兔音官方BILIBILI账号※ 哟！我是VTuber的天神子兔音哦！请多关照！随手点一下关注啦~,"59,420"
198,ChroNoiR_搬运组,385501313,NIJISANJI虚拟主播叶＆葛叶双人搬运组 欢迎加入字幕组 审核群：733370258；粉丝群见b站网页空间公告,"58,939"
199,奶茶姬,130209,手残路痴迷糊茶，b站直播间：10244，粉丝群：872919596，微博@奶茶姬丶,"57,982"
200,幽灵子辰,4763529,虚研社下属虚拟UP主，欢迎加入粉丝群555631826！！,"57,929"
201,奈姬niki_Channel,3035105,“一生追求，钱与自由”,"57,588"
202,YuNi_Channel,325325965,"应援二群：836192502
                翻唱歌词来源于网络
                字幕协力:放学后茶会字幕组","57,128"
