順位,ネーム,アイコン,ルームナンバー,info,登録者数
14,新月冰冰,https://i0.hdslb.com/bfs/face/4da0ccf2ec613fa38c9c525f5469b1977baf2ad4.jpg@256h_256w,3295,今年到100w粉倒立洗头！虚拟人设是14岁的小DD，性格有点害羞，自闭…哈哈！Q群：163630157 微博@新月冰冰,"598,890"
15,赤井心Official,https://i2.hdslb.com/bfs/face/e08e119f7e865999afdf733cb0a59f6c1337dbda.jpg@256h_256w,339567211,holoIive一期生，虚拟女子留学生，赤井心哒呦～(๑•̀ㅂ•́)و✧❖担当画师：はる雪协力：字幕组。商务合作与问题反馈请私信。,"592,799"
16,七濑胡桃menherachan,https://i0.hdslb.com/bfs/face/0bb61fc49cc2f36aa17181244f1165bca3e4f5c8.jpg@256h_256w,326968804,想要守护你的menhera酱七濑胡桃( =•ω•= )微博：七濑胡桃menherachan ,"554,358"
17,YUKIri,https://i0.hdslb.com/bfs/face/1059fafde0224a8f2070bd01ac98c628acaa373c.jpg@256h_256w,512480,"新浪微博：@YUKIri初号机 Q音：@YUKIri
                唱唱歌聊聊天的时间段是周六晚8~9点
                网易云专辑请搜索YKRII（专辑名称）","536,414"
18,猫宫日向Official,https://i2.hdslb.com/bfs/face/b50969a2b8de4fbb747dc78bd8b65d76fc5b6c12.jpg@256h_256w,291296062,这里是虚拟youtuber猫宫日向๑˃́ꇴ˂̀๑ 请大家多多指教哦！,"477,155"
19,虚拟次元计划,https://i2.hdslb.com/bfs/face/a5f88654326992065a594a72398d1ff5cd38a622.jpg@256h_256w,5563350,B站首位中文虚拟UP主，人工萌新！粉丝QQ群号：1080282806~合作方式：vd_project@163.com,"456,899"
20,Mr.Quin,https://i2.hdslb.com/bfs/face/42eb05e354476c2b22b5c512c4a484d93650020c.jpg@256h_256w,15810,新浪微博：@Mr_Quin http://weibo.com/mrquin33,"448,726"
21,Overidea_China,https://i2.hdslb.com/bfs/face/cbc695338514954b4285ad40b674779e5e6f72bf.jpg@256h_256w,18149131,这里是偶像集团Overidea！ ✧ 商业合作 kyouka@overidea.jp,"448,328"
22,hololive,https://i1.hdslb.com/bfs/face/52f316ed4b89f48f3fea7cc165585c04c32f32df.jpg@256h_256w,286700005,VTuber（虚拟Youtuber）事务所「hololive production」官方账号官网：hololive.tv,"441,354"
23,犬山玉姬Official,https://i0.hdslb.com/bfs/face/f45bbe0a5c27e4e2cd30c5f2798cade37ba1b37f.jpg@256h_256w,12362451,这里是NoriPro所属的伪娘Vtuber犬山玉姬(犬山たまき)！❖担当画师：佃煮海苔男(佃煮のりお)。工作审核群：572299025,"429,469"
24,AIChannel中国绊爱,https://i2.hdslb.com/bfs/face/a2d8f992ee6e23fca3a803cc435fcd71f7a5c931.jpg@256h_256w,484322035,我的首张EP《化身星海》上线啦，请大家多多支持！制作运营@哎咿多工作室 粉丝群：962144350 ,"407,060"
25,百鬼绫目Official,https://i1.hdslb.com/bfs/face/04b15b73fbb4d0d9fb65bcbe6a5f97a4082be224.jpg@256h_256w,389858027,Hololive所属二期生虚拟鬼神￤百鬼绫目（Nakiri Ayame）￤担当画师：ななかぐら￤协力：百鬼组￤商务合作与问题反馈请私信,"407,043"
26,花园Serena,https://i0.hdslb.com/bfs/face/9fdf5b0d991733a83ed5fb1133d8879212c4819a.jpg@256h_256w,380829248,主人饲养的猫猫，花園セレナ是也！音声https://www.geekjack.net/hanazono_serena/,"391,791"
27,菜菜子Nanako,https://i2.hdslb.com/bfs/face/dfc62a6e1b9305d143c6d26ec6fd5e7bef897933.jpg@256h_256w,595407557,治愈系小萌神 菜菜子Nanako会出现在充满苦恼需要帮助的人们身边哦～VirtuaReal成员,"387,964"
28,兔田佩克拉Official,https://i1.hdslb.com/bfs/face/628971469a1be92840c59d3cb664e29b6348eeb4.jpg@256h_256w,443305053,hololivetv所属VTuber三期生 兔田佩克拉！协力：时空字幕组,"386,671"
29,星街彗星Official,https://i1.hdslb.com/bfs/face/63585f1563aff2f22be97ddbd01105e31ff9ec8a.jpg@256h_256w,9034870,HOLOLIVE所属，虚拟偶像星街彗星！协力：星街彗星的观星人。商务合作与问题反馈请私信,"367,230"
30,花丸晴琉Official,https://i0.hdslb.com/bfs/face/b4bdaf69ed01d11eb848c9d34f450cbb88fda72a.jpg@256h_256w,441381282,我是虚拟偶像组合“花寄女生宿舍”的成员、Vtuber花丸晴琉！和我做朋友吧！,"352,410"
31,润羽露西娅Official,https://i2.hdslb.com/bfs/face/b169bc24958905d9f4ca3cb8bee74cc49a449164.jpg@256h_256w,443300418,hololive三期生 润羽露西娅 ʚїɞ我乃见习死灵法师 死者苏生之奇迹† Fantasy！！ 协力：时空字幕组,"347,984"
32,时乃空Official,https://i0.hdslb.com/bfs/face/dbe787cb37a78587aa6f282cdafdc37a73348495.jpg@256h_256w,286179206,"HOLOLIVE所属,虚拟偶像！ ❖担当画师：おるだん 协力：时空字幕组","340,183"
33,帕里_Paryi,https://i2.hdslb.com/bfs/face/09088e15e8149c4c6411f0df1483476fb8a9b3e2.jpg@256h_256w,1576121,我是paryipro的画师paryi~中国朋友们好~请大家关注我~paryi审核群：439902287,"328,655"
34,天音彼方Official,https://i2.hdslb.com/bfs/face/a6998ad95abb370c42a8ddd3add260777f63769c.jpg@256h_256w,491474048,HOLOLIVE所属四期生，在天界学园上学的天使！担当画师：おしお 协力：天音彼方字幕组。问题反馈请私信。,"322,655"
35,大神澪Official,https://i0.hdslb.com/bfs/face/93317138e700a5ff41e49c460894e4d89612b8a8.jpg@256h_256w,389862071,hololivegamers所属，喜欢游戏的虚拟狼 大神澪！❖担当画师：泉彩协力：MIO字幕组 商务合作与问题反馈请私信,"317,501"
36,戌神沁音Official,https://i0.hdslb.com/bfs/face/bc1f6c71b1508858bd3a844c0c7ac221e92e1fa3.jpg@256h_256w,412135619,hololive-gamers所属，住在都市中某面包店里的虚拟狗狗，戌神沁音哒！❖担当画师：フカヒレ问题反馈请私信。,"307,259"
37,物述有栖Official,https://i0.hdslb.com/bfs/face/b47463d917ec2dc7ef34951d51df490fa7f89531.jpg@256h_256w,434565011,我还在学中文，但也想来bilibili和大家一起开愉快的茶会！请多关照啦！,"306,397"
38,癒月巧可Official,https://i1.hdslb.com/bfs/face/55c2273e0b5a6b344f92c558e518931385df0582.jpg@256h_256w,389858754,hololive二期生，来自魔界的虚拟保健医生癒月巧可。❖画师担当：桝石きのと様协力：时空字幕组,"296,856"
39,战斗吧歌姬官方账号,https://i2.hdslb.com/bfs/face/94ba64c739952b7270253492312be3fd40c74018.jpg@256h_256w,364225566,这里是时刻回应爱的实时互动企划《战斗吧歌姬！》，快来微信小程序：战斗吧歌姬 和歌姬们一起玩吧~,"293,469"
40,扶桑大红花丶,https://i2.hdslb.com/bfs/face/5da864563249ed7132bc27c2a991b2983d03a72a.jpg@256h_256w,3985676,"哒哒哒✧٩(ˊωˋ*)و✧
                微博同名( ""･ω･ﾞ)
                网易云电台：扶桑大红花_(:3」∠❀)_
              ","292,979"
41,樱巫女Official,https://i2.hdslb.com/bfs/face/750f918bf60eb6ad40f0138811b314b686e93b1b.jpg@256h_256w,366690056,"hololive所属的虚拟巫女(❀ㆆ ㆆ)و✧一个喜欢鲷鱼烧的精英女孩子
                ❖担当画师：田中雄一
                协力：三樱字幕组。商务合作与问题反馈请私信。","288,473"
42,輝夜月Official,https://i1.hdslb.com/bfs/face/2ca6ce4b49abca359b16e0c6fcc2583c92537259.jpg@256h_256w,265224956,摸鱼技术哪家强素质极好luna酱～！！！微博搜索：辉夜月official 官网：kaguyaluna.jp,"286,182"
43,紫咲诗音Official,https://i0.hdslb.com/bfs/face/7a98da1550c333c3cd8e786ca48fa629b060dfd9.jpg@256h_256w,389857640,holoIive二期生，魔法使紫咲诗音！❖担当画师：Tam-U 协力： 紫咲诗音字幕组。问题反馈请私信留言。本账号不接任何形式的商业推广。,"283,186"
44,角卷绵芽Official,https://i0.hdslb.com/bfs/face/7bbf7392ea08113f418d3649d247a0e03a180afe.jpg@256h_256w,491474050,HOLOLIVE所属四期生角卷绵芽！一边做着吟游诗人，一边悠然旅行的羊。担当画师：ふーみ 协力：角卷绵芽字幕组,"279,629"
45,白银诺艾尔Official,https://i1.hdslb.com/bfs/face/d5c374d7acce2cee5de9e9c2d36c64f0d7c4e11e.jpg@256h_256w,454733056,"沉着稳重的同时，又有着想用蛮力解决一切的一面！！
                憧憬强大之人而进行武者修行的轻飘飘猛男女骑士！
                ❖担当画师：わたお
                字幕协力：三樱字幕组","267,843"
46,白神遥Haruka,https://i2.hdslb.com/bfs/face/03e7f3f6d88563038e275298c2cd942d2ac99d6a.jpg@256h_256w,477332594,P-SP所属，爱睡觉和打游戏的一只海豹JK(:3っ)∋想成为大家的光，妈妈是@Bison仓鼠仓，白神遥的被窝聊天群：1137127370,"267,684"
47,本间向日葵Official,https://i2.hdslb.com/bfs/face/c2ed0abc0a9a47750ce64b60f3f81fc099f6f7b4.jpg@256h_256w,403928672,我是本间向日葵！请多关照～！やぁやぁ(・ワ・),"255,576"
48,宝钟玛琳Official,https://i2.hdslb.com/bfs/face/5e730a44f29682d277e91550dd66842f4e182475.jpg@256h_256w,454955503,Hololive Fantasy所属，宝钟海贼团船长~出航〜❖担当画师：あかさあい 协力：宝钟玛琳字幕组,"252,515"
49,猫又小粥Official,https://i0.hdslb.com/bfs/face/b2a381caf25d6879b1c557550b561f516abcf721.jpg@256h_256w,412135222,hololive-gamers所属，饭团屋的婆婆所饲养的猫猫❖担当画师：神岡ちろる协力：猫又小粥字幕组。问题反馈请私信。,"248,756"
50,高槻律official,https://i1.hdslb.com/bfs/face/20a46daa2a955e3787f70ab51aacf3f9c3e40fd3.jpg@256h_256w,6055289,来自日本的清楚系虚拟YouTuber 长期招收校对 审核群963140085,"248,620"
51,桐生可可Official,https://i1.hdslb.com/bfs/face/776dcb833ff54439dc3503a5a6845b524d6a8464.jpg@256h_256w,491474049,Hololive所属4期生，对人类文化很感兴趣，目前在日留学，来自异世界！担当画师：yaman 协力：桐生可可字幕组。商务合作及反馈请私信。,"234,889"
52,还有醒着的么,https://i0.hdslb.com/bfs/face/3bedde678ea7892b124202063ddf3f221cc3ebd1.jpg@256h_256w,2100679,这里是醒爷 未满16禁止关注！微博推特ID都是 还有醒着的么 p站ID=7660686,"230,655"
53,有栖Mana_Official,https://i1.hdslb.com/bfs/face/d7e1baf8c3cec9e811053bb85764c29cc77daa5e.jpg@256h_256w,3149619, 来自韩国的小狐狸 （已毕业,"226,923"
54,田中姬铃木雏Official,https://i2.hdslb.com/bfs/face/49f8c7c45bab6beb503f5bf4fab76fd9bd963f32.jpg@256h_256w,296909317,姬雏：请大家多多关照！商务合作请联系官博：田中姬铃木雏Official,"225,127"
55,白雪深白Official,https://i0.hdslb.com/bfs/face/43e4691f85299ccbcd8a82c6dc551b5b69e680e3.jpg@256h_256w,405981431,这里是NoriPro所属的虚拟女仆白雪深白~工作审核群:572299025 白雪粉丝2群:1032362112,"224,236"
56,琴吹夢_official,https://i2.hdslb.com/bfs/face/1b5873093df7e979f88a45394649be2797fb734d.jpg@256h_256w,442426299,我是可爱的整活大师，不是不良少女！,"224,201"
57,叫我默默酱,https://i1.hdslb.com/bfs/face/fb62727a2fa32590acf33f0d70d1444a31ec7152.jpg@256h_256w,308688486,我是默默酱，一个像苏打饼干一样干干脆脆的小姑娘。v❤：momojiang1009 合作邮箱momo@huox.tv,"215,740"
58,黑桃影,https://i2.hdslb.com/bfs/face/b5e82aca42450be98952a72681eccb3a5c7b096b.jpg@256h_256w,456368455,hololive CN所属，星空下的白色幻影，怪盗Spade Echo参上！ 担当画师：ななかぐら ,"207,232"
59,萝卜子Official,https://i0.hdslb.com/bfs/face/820c48980aa25f4476f5d435018d1db22dc05911.jpg@256h_256w,20813493,hololive所属，Virtual Robot 担当画师：kuromaru9 商务合作与问题反馈请私信hololive,"206,015"
60,虚拟女友Yomemi,https://i0.hdslb.com/bfs/face/d8c11e96f8c79a373834d224f19cd1936d935b55.jpg@256h_256w,292044559,Hello达令~ 这里是您的虚拟女友Yomemi~丨直播地址：https://bit.ly/2XdlPAq,"205,292"
61,琉绮Ruki,https://i2.hdslb.com/bfs/face/887bfeee0171dada5a6011929b00c2eacb3c821f.jpg@256h_256w,420249427,Virtuareal Project一期生。唱跳rapOW。群：1005397354⭐去摘遥不可及的星。商务合作联系bd@vrp.liv,"204,739"
62,杏仁Miru搬运,https://i2.hdslb.com/bfs/face/63b5850f49f6fbae77643705b90966bafb40da9d.jpg@256h_256w,233114861,这里是会说中文以及日语的虚拟vtuber杏仁ミル！已获得搬运权限。,"203,650"
63,大空昴Official,https://i2.hdslb.com/bfs/face/ae818814a8173fffdc45aaac740ebab8c4448033.jpg@256h_256w,389859190,"holo-live二期生，我是E-Sports部经理大空昴的说!
                ❖担当画师：しぐれうい
                协力：大空昴字幕组","200,970"
64,木糖纯Official,https://i2.hdslb.com/bfs/face/bdde39c44b29a1489f9e2a80c6fdabd30382860e.jpg@256h_256w,54191665,在这个新的地球，努力唱歌，认真配音，总有一天会让你们认识我！加油！合作请私聊~,"200,210"
65,笹木咲Official,https://i0.hdslb.com/bfs/face/30e14407d62161c2d6072ffaa90e5398d0ca085f.jpg@256h_256w,436596839,ゲームだいすき、高校２年生。笹木咲やよ〜。,"197,903"
66,夜空梅露Official,https://i1.hdslb.com/bfs/face/3936f2e9963e855499124b91a28a166be4912021.jpg@256h_256w,389856447,holoIive一期生，喜欢果汁而不是血的吸血鬼↝ 担当画师：Ayamyあやみ ,"189,125"
67,希薇娅Civia,https://i0.hdslb.com/bfs/face/c9f78a8befcf08e32bfbc741ee8d2eac5d7ff550.jpg@256h_256w,354411419,想要成为你睁开眼时最钟情的那抹阳光 ❀Hololive China一期生 妈妈@fuka_hire,"184,660"
68,雪花菈米Official,https://i2.hdslb.com/bfs/face/15c87f807385bcf4377d75639b03d230f9e9d12f.jpg@256h_256w,624252706,住在杳无人烟的银白色大地上的，雪之一族的少女。角色设计：リン ユウ。协力：雪花菈米的雪山小屋。商务合作与问题反馈请私信,"182,542"
69,狮白牡丹Official,https://i1.hdslb.com/bfs/face/2f6d36bcdb9b702f68d3804615b38fbd74b8ecd2.jpg@256h_256w,624252710,和外表相反，性情慵懒的白狮。角色设计：トマリ 协力：时空字幕组,"182,014"
70,可愛的島風,https://i2.hdslb.com/bfs/face/c484b16adf38a90f3777f0810a0b8204574efd2d.jpg@256h_256w,14248896,这里是虚拟主播-岛风风啦～VR类搞笑视频UP～点个关注不迷路啦～UP仅在哔哩哔哩发视频哦～未经授权请勿盗用视频！（为什么要点开看人家资料呀）,"179,799"
71,葛叶Official,https://i0.hdslb.com/bfs/face/834f2dbd22c2ddf279e9add510cf0a716be5926f.jpg@256h_256w,434563422,我是虚拟主播葛叶，请多多关照。,"176,994"
72,時雨羽衣Official,https://i0.hdslb.com/bfs/face/635424bace10b4e54bd194c82b4160225bff5c80.jpg@256h_256w,2601367,插画家，虚拟和现实都是哦！工作：电击文库『青梅竹马绝对不会输的恋爱喜剧』Vtuber大空昴造型设计、WIXOSS等,"175,426"
73,兽耳放送,https://i0.hdslb.com/bfs/face/6d70afcfad22257e158c8edaacccc518b7c98622.jpg@256h_256w,327711614,我是虚拟UP主米露可！嗷呜~,"175,327"
74,不知火芙蕾雅Official,https://i1.hdslb.com/bfs/face/39a175968eaf1f4f5670b7999d5a6feae772f8d9.jpg@256h_256w,454737600,我是hololive所属3期生 半精灵不知火芙蕾雅哦～ 担当画师：lack 协力：不知火芙蕾雅字幕组,"170,548"
75,亚绮-罗森Official,https://i1.hdslb.com/bfs/face/a50e8a6d076d90f11f5afbbeb6fd5653c511fa9f.jpg@256h_256w,389857131,"hololive一期生，来自异世界的虚拟治愈系半精灵
                ❖担当画师：安雲アキタケ
                协力：夏露伊苏字幕组。商务合作与问题反馈请私信","168,095"
76,常暗永远Official,https://i1.hdslb.com/bfs/face/671559fd23e31381b029f73d6207fcdc5e0c17cf.jpg@256h_256w,491474051,HOLOLIVE所属四期生。为了成长为独当一面的恶魔来到人间学习。担当画师:rurudo 协力：常暗永远字幕组。商务合作及反馈请私信。,"165,762"
77,七海Nana7mi,https://i0.hdslb.com/bfs/face/33736c0abf46d364ad91c3d34ca359389fb95239.jpg@256h_256w,434334701,Weibo:七海Nana7mi Email:bd@vrp.live 录播:@出逃鲨鱼抱枕,"164,722"
78,织田信姬official,https://i1.hdslb.com/bfs/face/f6d327017cdba2045eb5ee6bd79d95a8612d2696.jpg@256h_256w,80387576,最近锅炉故障，更新不定！炊事班审核群873571678，欢迎加入~粉丝1群：745837145 *频道存续已告知信姬运营，并保持原有风格*,"162,878"
79,夢乃栞Yumeno_Shiori,https://i2.hdslb.com/bfs/face/76c75f8ed1dbbe951eb06f9d033262fc322a9e64.jpg@256h_256w,372984197,"おは堕天使*ଘ(੭*ˊᵕˋ)੭

                翻譯協力群
                963140085

                粉丝群
                584408832","162,366"
80,静凛Official,https://i0.hdslb.com/bfs/face/f3828cb7eb627cfdb334a10009d2b6171afb1535.jpg@256h_256w,403921378,"我是NIJISANJI的Virtual Liver""静凛""。如果能轻松愉快地叫我""Shizurin""的话，我会很高兴的!","161,519"
81,姬森璐娜Official,https://i2.hdslb.com/bfs/face/8aa352675fe066f6c089b03b4bd030f9c930f3be.jpg@256h_256w,491474052,HOLOLIVE所属四期生。点心国的公主。担当画师：神崎广（@kanzakihiro）字幕协力：姬森璐娜字幕组,"158,341"
82,尾丸波尔卡Official,https://i1.hdslb.com/bfs/face/ced6b0378e809b0f8e1503307fd0589fa95aedfb.jpg@256h_256w,624252712,为了成为Vtuber界的招牌而来到hololive的马戏团团员。角色设计：こう ましろ,"157,345"
83,梭梭树,https://i1.hdslb.com/bfs/face/45595d576968fc0a6a73ebafe9e83393ad0976bf.jpg@256h_256w,8163245,树树我啊，最喜欢钱了，所以要努力画稿,"152,913"
84,白音雪Official,https://i2.hdslb.com/bfs/face/d8ed8faaa044d9d75cdd400ded2461f69be74010.jpg@256h_256w,5570898,这里是来自日本的虚拟up主白音雪 经常会进行直播 喜欢玩游戏和唱歌！粉丝群891379347,"151,561"
85,忘川の泉眼,https://i0.hdslb.com/bfs/face/49f90c71c731c5aeed9e5c3734a9a8ba7caab220.gif@256h_256w,201448,唯一使用QQ：410990110 高清作品获取途径见公告 【愿我幻想的一切，有一日能够更加清晰地，展现给你~】 ,"150,422"
86,筱魈Channel,https://i1.hdslb.com/bfs/face/8d210b9434deb3bd5f2e46b8d661448e28c101ea.jpg@256h_256w,4690327,个人势Vliver练习生，不出道了，别问了！录播组@筱魈保护协会,"145,748"
87,早稻叽,https://i0.hdslb.com/bfs/face/d5d3a26ebf782effd5dd369dd5f30e4b0f19e21b.jpg@256h_256w,1950658,<ChaosLive>在异世界歌唱的恶魔✨❤禁言通知群：473535941✨商务合作请戳：911998640,"145,579"
88,椎名唯华Official,https://i1.hdslb.com/bfs/face/3ae4408b6d6946d5867cf82a4c7a8568c6ae2da6.jpg@256h_256w,403927583,にじさんじ所属、高校１年、霊能力者です。,"144,634"
89,菫妃奈Official,https://i1.hdslb.com/bfs/face/7e6d93fcd9fcc3587a64b91fdb04bfd849ea1c09.jpg@256h_256w,98181,"VirtuaReal Link所属个人势vup，妈妈是Paryi,目标是做游戏的gamer小狐狸w
                推特@sumirehina微博@菫妃奈","144,514"
90,阿媂娅Artia,https://i2.hdslb.com/bfs/face/eea18c79e86858af7ffc5ba4cf598d25ebeefd91.jpg@256h_256w,511613155,HololiveCN二期生｜守望先锋单排500强 ｜寒冰一笑如魇花，冰封千年只为你 。商：hololivecn@cover-corp.com,"144,211"
91,叶Official,https://i1.hdslb.com/bfs/face/8d20ada6facbf337efd5626f2543bb30856ddd25.jpg@256h_256w,434563934,我是NIJISANJI的虚拟主播叶！我喜欢玩游戏，希望能和大家一起享受乐趣！,"142,364"
92,加加Official,https://i1.hdslb.com/bfs/face/7709088dc227da718d371e2b5b25a6383cc6d7ae.jpg@256h_256w,1506609,披着萌妹皮的老公，我迟早要把所有的DD都娶了。凭兴趣成为虚拟up主的DD。,"141,457"
93,綾奈奈奈,https://i0.hdslb.com/bfs/face/bdf32829fe8a28aaa1faaafc3764ec32a19915e7.jpg@256h_256w,186463,"我也喜欢你呀。‪‪❤︎‬"" 兔子JKᕱ⑅ᕱ ✨怎么能要求一只兔子讲标准普通话？（疑惑）联系ayanaxnana@gmail邮箱✨▹P-SP◃","141,065"
94,夏色祭保護協会,https://i1.hdslb.com/bfs/face/3d51a04dce14f9aaca914c34cde0d7aec206edf5.jpg@256h_256w,420711844,夏色祭保護協会所属bilibili账号。非官方祭丝同人组织。主攻夏色祭相关烤肉/原创视频，夏色祭周报/月刊，祭丝群建设。,"136,014"
95,朵莉丝Doris,https://i2.hdslb.com/bfs/face/60dae3c34da1569bd0f9f696dd9aca2d2914bf85.jpg@256h_256w,511613156,Hololive CN二期生 朝向下一道光辉横渡大海吧！ ——来自深海中的人鱼公主～ ,"135,878"
96,Kanna_康娜Official,https://i0.hdslb.com/bfs/face/b6b4bfa0f1de8a103b17966b5da503507fb8ef8d.jpg@256h_256w,345819190,我是虚拟主播Kanna！狂热的呆呆兽爱好者! 粉丝群734442518,"135,061"
97,龙胆尊Official,https://i1.hdslb.com/bfs/face/9bddeddb2be6b4057f6b6a13f7bc0adba2b2882a.jpg@256h_256w,434564604,妾身乃NIJISANJI的虚拟主播龙胆尊，今后多多关照！,"134,079"
98,阳向心美Official,https://i1.hdslb.com/bfs/face/8e55ea3606d685ca1170979e1e871c2b843c18ea.jpg@256h_256w,492862,我是偶像Vtuber阳向心美 / 陽向ここみ（cocomi）粉丝4群1071827340字幕组审核群：645927221,"133,689"
99,yakko暗影,https://i1.hdslb.com/bfs/face/07323e86c9bf1b97388b27a04626d371d0eb8be2.jpg@256h_256w,175056,175056,"130,313"
100,v猫诺v,https://i2.hdslb.com/bfs/face/e7f7b310c02b4a63c107856bcbf068d4895d7b01.jpg@256h_256w,70070,"群:852645078
                B站直播间:https://live.bilibili.com/308543
                每天12:30播到晚上9点左右啦
              ","122,695"
101,物述有栖-爱丽丝搬运,https://i0.hdslb.com/bfs/face/77aab7d07316d73b1b639c71749d158e72620268.jpg@256h_256w,203365648,粉丝群 二群902821691 三群1043883885 搬运组审核群 808288640(进群请注明职位),"119,966"
102,魔王酱Maou_Official,https://i2.hdslb.com/bfs/face/a37d9ec93b202a4472bb78944591e4ebb3dd65f8.jpg@256h_256w,163917943,_个人势_虚拟魔王深渊巨口，专吃美少女，不关注加急献祭！晚安群:1040553852录播组@魔王酱祭品严选会 网易云和微博同名～！！！,"119,768"
103,野野宫のののOfficial,https://i0.hdslb.com/bfs/face/8037cdff57e6164c0e53b9b6e161f84cd88ca976.jpg@256h_256w,441403698,我是虚拟偶像组合“花寄女生宿舍”的成员、Vtuber野野宫ののの！我最喜欢唱歌了，请多关照！,"119,045"
104,小东人魚Official,https://i2.hdslb.com/bfs/face/8e42e489a1e0b116c65526755af97f39dd84ca94.jpg@256h_256w,441382432,我是虚拟偶像组合“花寄女生宿舍”的成员、Vtuber小东人鱼！我要去挑战各种游戏啦！,"118,853"
105,混沌之神-最终虚妄,https://i2.hdslb.com/bfs/face/62d352fa0ef827debf967726aa95fa61c5cef714.jpg@256h_256w,85816940,游戏制作人，全栈技术宅猫娘，个人群726910018技术群595958357，半个vup，目前还在填灵之秘境老游戏，希望以后做理智优秀的游戏,"118,598"
106,雫るる_Official,https://i0.hdslb.com/bfs/face/b3d6b3320baea31e82af616e59e6d4e95fa3d3a8.jpg@256h_256w,387636363,对不起 我是天才,"117,295"
107,桃铃音音Official,https://i1.hdslb.com/bfs/face/baff66975cc728fe05d4f4821b066b51fab6bc19.jpg@256h_256w,624252709,因为憧憬偶像，而从异世界前来的旗袍少女。角色设计：西沢5㍉,"113,736"
108,罗莎琳Rosalyn,https://i1.hdslb.com/bfs/face/38ed261b885c7ebdc5e17d530024530bd1c3eddb.jpg@256h_256w,511613157,"Hololive CN二期生 来自异世界的图书管理员，来一起探索这个世界吧！
              ","113,272"
109,宝蓝狼,https://i2.hdslb.com/bfs/face/aabd65d7b2b7e503ea140dd6d571e5f260275ce2.jpg@256h_256w,20036042,弱小 可怜 无助 还特别能嗷 邮箱: takaranoao@gmail.com 独立运营的个人势up,"111,024"
